ORF
915
606
211
171
143
119
69
68
65
61
61
58
52
41
39
38
38
35
34
34
32
32
31
30
30
28
27
26
26
25
22
22
22
21
20
20
20
19
19
19
19
18
18
17
17
17
16
15
15
15
15
15
15
15
14
14
14
14
14
13
13
12
12
12
11
11
11
10
10
9
9
9
9
8
8
8
8
8
8
6
6
6
6
6
5
4
4
4
4
4
3
3
3
3
2
2
2
2
1
1
1
1
